                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54688,                 2.6714,                 1.1048,                0.99082,                0.41129,                0.65594,                0.55539,                0.71237,                   2.75,                 1.3889,             0.00046877,             0.00046877,             0.00046877
                      2,                0.51353,                 1.6562,                 1.0434,                 0.9073,                0.91434,                0.93401,                0.74147,                  0.743,                 1.3915,                 1.7405,             0.00092639,             0.00092639,             0.00092639
                      3,                0.51077,                 1.3037,                 1.0335,                0.86142,                0.85604,                0.95147,                0.57526,                 1.1429,                 2.2546,                 2.0456,              0.0013652,              0.0013652,              0.0013652
                      4,                0.52911,                 1.0471,                 1.0469,                0.71935,                0.77177,                0.86698,                0.63269,                 1.0752,                 1.5453,                 1.9839,              0.0013441,              0.0013441,              0.0013441
                      5,                0.47715,                 0.8328,                0.99746,                0.71941,                0.88999,                0.77248,                0.66027,                0.99982,                0.87174,                 1.8446,              0.0013158,              0.0013158,              0.0013158
                      6,                0.47569,                0.69901,                0.99886,                0.67057,                0.82056,                0.91949,                0.68569,                0.95448,                 1.5423,                  1.965,              0.0012875,              0.0012875,              0.0012875
                      7,                0.46346,                0.60731,                0.99202,                0.97446,                0.94162,                  0.977,                 0.7156,                0.91713,                0.63654,                 1.7373,              0.0012592,              0.0012592,              0.0012592
                      8,                0.44255,                0.54391,                0.99016,                0.84854,                0.92542,                 0.9427,                0.73522,                0.87796,                 1.0715,                 1.8403,              0.0012309,              0.0012309,              0.0012309
                      9,                0.43417,                0.50476,                0.97831,                0.76031,                0.70399,                 0.7722,                0.37971,                 1.7527,                 1.5317,                 2.6885,              0.0012026,              0.0012026,              0.0012026
                     10,                0.45179,                0.47731,                0.98854,                 0.7331,                0.75417,                0.82341,                0.63974,                0.92069,                 1.4116,                 1.6518,              0.0011744,              0.0011744,              0.0011744
                     11,                0.41566,                0.42739,                0.95957,                0.69164,                0.78738,                0.82546,                0.62838,                 1.1064,                0.90825,                 1.7202,              0.0011461,              0.0011461,              0.0011461
                     12,                0.41542,                0.41549,                0.96964,                0.72884,                 0.7858,                0.86882,                0.68214,                0.90573,                0.94583,                 1.5946,              0.0011178,              0.0011178,              0.0011178
                     13,                0.40757,                0.39616,                 0.9684,                 0.8369,                0.82525,                0.91617,                0.60501,                 1.1445,                  1.016,                 1.7964,              0.0010895,              0.0010895,              0.0010895
                     14,                 0.3999,                0.39119,                0.96273,                0.86931,                0.84328,                0.90294,                0.70776,                0.89105,                0.69578,                 1.5858,              0.0010612,              0.0010612,              0.0010612
                     15,                0.39765,                0.37685,                0.95922,                0.85146,                0.88266,                0.95119,                0.72717,                0.84686,                0.61518,                 1.5267,              0.0010329,              0.0010329,              0.0010329
                     16,                 0.3826,                 0.3541,                0.94813,                0.85129,                0.85002,                0.89776,                0.68588,                0.84693,                0.80344,                  1.465,              0.0010046,              0.0010046,              0.0010046
                     17,                0.37696,                0.34685,                0.94609,                0.94199,                0.83504,                0.93547,                0.74296,                0.77795,                0.78016,                 1.3452,             0.00097629,             0.00097629,             0.00097629
                     18,                0.38089,                0.35367,                0.94653,                0.97278,                 0.6794,                0.97824,                0.71336,                0.88732,                0.91664,                 1.3075,               0.000948,               0.000948,               0.000948
                     19,                0.37107,                0.33247,                0.94966,                0.91441,                0.92295,                0.93069,                0.70461,                0.84851,                0.65675,                 1.4332,              0.0009197,              0.0009197,              0.0009197
                     20,                0.35819,                0.31562,                0.93486,                0.96298,                0.95226,                0.95424,                0.70622,                0.82491,                0.59317,                 1.4053,             0.00089141,             0.00089141,             0.00089141
                     21,                0.37144,                0.32434,                0.95174,                0.91089,                0.93526,                0.93736,                0.68483,                0.91409,                0.58863,                 1.3067,             0.00086312,             0.00086312,             0.00086312
                     22,                0.35094,                0.31339,                0.92744,                0.80958,                0.72161,                0.80609,                0.70231,                0.69365,                0.96536,                 1.2114,             0.00083482,             0.00083482,             0.00083482
                     23,                0.34645,                0.31201,                 0.9286,                0.97568,                0.98156,                0.98673,                0.76362,                0.77866,                0.42818,                 1.2241,             0.00080653,             0.00080653,             0.00080653
                     24,                0.34377,                0.29036,                0.92612,                0.98491,                0.97148,                0.98725,                 0.7569,                 0.7992,                0.44882,                 1.2985,             0.00077823,             0.00077823,             0.00077823
                     25,                0.33695,                0.29041,                0.92614,                 0.7729,                0.69576,                0.72118,                0.54311,                0.67973,                 1.9031,                 1.2766,             0.00074994,             0.00074994,             0.00074994
                     26,                0.34025,                0.28981,                0.91944,                0.98293,                 0.9736,                0.98724,                0.75962,                0.82799,                0.46427,                 1.4202,             0.00072164,             0.00072164,             0.00072164
                     27,                0.34107,                0.27939,                0.92743,                0.90258,                0.91391,                0.94203,                0.75708,                0.70906,                0.56969,                 1.1746,             0.00069335,             0.00069335,             0.00069335
                     28,                0.34176,                0.28482,                0.93618,                0.89408,                0.86992,                 0.9661,                0.76551,                0.76442,                0.79545,                 1.2297,             0.00066506,             0.00066506,             0.00066506
                     29,                0.32777,                0.27066,                0.92389,                0.98813,                0.95801,                0.98737,                0.74851,                0.83157,                0.45753,                 1.3486,             0.00063676,             0.00063676,             0.00063676
                     30,                0.32347,                0.27132,                0.91983,                0.91495,                0.81673,                0.93928,                0.75122,                0.77938,                 0.7528,                 1.3213,             0.00060847,             0.00060847,             0.00060847
                     31,                0.31938,                0.26685,                0.91249,                0.80482,                0.87264,                0.91685,                0.77947,                0.62159,                 0.6646,                 1.1985,             0.00058017,             0.00058017,             0.00058017
                     32,                0.31996,                0.26216,                0.91035,                0.79521,                0.75363,                0.85462,                0.70235,                0.68375,                0.97722,                 1.2538,             0.00055188,             0.00055188,             0.00055188
                     33,                0.30751,                0.25562,                 0.9056,                0.94586,                0.60641,                0.76299,                0.68996,                0.58739,                 1.2317,                 1.1865,             0.00052359,             0.00052359,             0.00052359
                     34,                0.31414,                 0.2553,                  0.914,                0.92496,                0.89788,                0.94943,                0.80614,                0.62776,                0.54032,                 1.1828,             0.00049529,             0.00049529,             0.00049529
                     35,                0.29685,                0.24324,                0.89312,                0.96258,                0.82033,                0.95441,                0.78115,                0.64294,                0.73037,                 1.1788,               0.000467,               0.000467,               0.000467
                     36,                0.30185,                0.24461,                0.90306,                 0.8957,                 0.7773,                0.91849,                0.76571,                0.61394,                0.94043,                  1.179,              0.0004387,              0.0004387,              0.0004387
                     37,                0.29921,                0.23966,                0.90471,                0.91999,                0.76105,                0.87544,                0.75012,                0.60441,                0.92183,                 1.1288,             0.00041041,             0.00041041,             0.00041041
                     38,                0.28643,                0.22983,                0.89401,                0.80479,                0.83077,                0.94909,                0.78777,                0.57661,                 0.8771,                 1.1532,             0.00038211,             0.00038211,             0.00038211
                     39,                0.28993,                0.22635,                0.90124,                0.92701,                0.80449,                0.92532,                0.75454,                0.66138,                0.78674,                 1.1505,             0.00035382,             0.00035382,             0.00035382
                     40,                0.27601,                0.22499,                0.88752,                0.97549,                0.92475,                0.97878,                0.80236,                0.59461,                0.47034,                 1.1405,             0.00032553,             0.00032553,             0.00032553
                     41,                 0.2289,                0.20372,                0.82675,                0.94921,                0.96798,                0.98412,                0.80412,                 0.6408,                0.43529,                 1.1894,             0.00029723,             0.00029723,             0.00029723
                     42,                0.23406,                0.19285,                 0.8259,                0.88867,                0.89571,                0.97397,                0.80615,                 0.6176,                0.60106,                 1.1875,             0.00026894,             0.00026894,             0.00026894
                     43,                0.21876,                0.18388,                0.81926,                0.91434,                0.90565,                0.97128,                0.80837,                0.61364,                0.59504,                 1.2037,             0.00024064,             0.00024064,             0.00024064
                     44,                0.21835,                0.18799,                0.82188,                0.93523,                0.95592,                0.98425,                0.75651,                0.69581,                0.54042,                 1.2339,             0.00021235,             0.00021235,             0.00021235
                     45,                0.21111,                0.17884,                0.82036,                0.98058,                0.97277,                0.98834,                0.79055,                0.67702,                0.45514,                 1.2729,             0.00018406,             0.00018406,             0.00018406
                     46,                0.20083,                0.17201,                0.81063,                 0.9782,                0.98815,                0.98817,                0.81507,                0.62259,                0.40158,                 1.2832,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.1989,                0.16876,                0.80964,                0.96746,                0.93532,                0.98842,                0.80894,                0.64083,                0.48891,                 1.2353,             0.00012747,             0.00012747,             0.00012747
                     48,                0.19792,                0.15998,                0.81528,                0.97166,                0.95937,                0.98886,                0.81372,                0.61558,                0.43868,                 1.2131,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.19421,                0.16017,                0.80476,                0.96721,                0.95923,                0.98869,                0.80652,                0.62588,                0.44358,                 1.2478,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.18942,                0.15694,                0.79905,                0.98494,                0.96229,                 0.9894,                0.80806,                0.61571,                0.41471,                  1.238,             4.2584e-05,             4.2584e-05,             4.2584e-05
