                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37085,                 3.1893,                0.88631,                0.28196,                0.70353,                0.38257,                0.31235,                0.65178,                  2.383,                0.98393,             0.00047444,             0.00047444,             0.00047444
                      2,                0.38908,                 2.1527,                0.87415,                0.32975,                0.98945,                0.38206,                 0.3557,                0.41245,                  1.705,                0.83832,             0.00093733,             0.00093733,             0.00093733
                      3,                0.40159,                 1.6226,                0.87856,                 0.3293,                0.84979,                0.35464,                0.29551,                0.66836,                  1.537,                0.99424,              0.0013867,              0.0013867,              0.0013867
                      4,                0.35479,                 1.3793,                0.85617,                0.33474,                0.99596,                0.40457,                0.38431,                0.33215,                 1.1687,                0.82015,              0.0013684,              0.0013684,              0.0013684
                      5,                0.31086,                 1.2566,                   0.83,                0.33727,                0.99197,                0.40748,                0.38007,                 0.4204,                 1.1555,                0.87013,              0.0013482,              0.0013482,              0.0013482
                      6,                 0.3101,                 1.2009,                0.83142,                0.32079,                0.99959,                0.38062,                 0.3612,                0.35407,                 1.1677,                 0.8317,              0.0013279,              0.0013279,              0.0013279
                      7,                0.28311,                 1.1682,                0.82218,                0.32929,                      1,                0.40129,                0.37997,                 0.3516,                 1.0966,                0.82115,              0.0013077,              0.0013077,              0.0013077
                      8,                0.26987,                 1.1462,                0.82607,                0.33325,                0.97553,                0.37981,                0.34935,                0.41721,                 1.1178,                0.87804,              0.0012875,              0.0012875,              0.0012875
                      9,                0.24875,                  1.126,                0.80581,                 0.3333,                      1,                0.39346,                0.38177,                0.28371,                  1.056,                0.80116,              0.0012673,              0.0012673,              0.0012673
                     10,                0.23827,                 1.1086,                0.80384,                0.33384,                0.99166,                0.36841,                0.35914,                0.28001,                 1.0515,                0.79827,              0.0012471,              0.0012471,              0.0012471
                     11,                0.24638,                 1.1038,                0.80766,                0.33413,                0.99781,                 0.3912,                 0.3775,                0.31409,                 1.0574,                0.80689,              0.0012269,              0.0012269,              0.0012269
                     12,                0.24296,                 1.1016,                0.80162,                0.33447,                      1,                 0.3824,                0.36976,                0.30268,                 1.0571,                0.80732,              0.0012067,              0.0012067,              0.0012067
                     13,                0.23556,                  1.097,                0.80827,                0.33324,                      1,                0.37395,                 0.3605,                0.29667,                 1.0489,                0.80202,              0.0011865,              0.0011865,              0.0011865
                     14,                0.23133,                 1.0902,                 0.7983,                0.33323,                0.99794,                0.38268,                0.37119,                0.28439,                 1.0759,                0.80422,              0.0011663,              0.0011663,              0.0011663
                     15,                0.23142,                 1.0817,                0.80726,                0.33248,                      1,                 0.3755,                0.35982,                 0.3158,                  1.051,                0.80854,              0.0011461,              0.0011461,              0.0011461
                     16,                0.23178,                 1.0817,                0.80194,                0.33349,                0.99976,                 0.3801,                0.37093,                0.27311,                 1.0514,                0.79533,              0.0011258,              0.0011258,              0.0011258
                     17,                 0.2225,                 1.0786,                0.79808,                0.33281,                      1,                0.36536,                0.35548,                0.27477,                  1.042,                0.79425,              0.0011056,              0.0011056,              0.0011056
                     18,                0.22056,                 1.0742,                0.79548,                0.33318,                      1,                0.39184,                0.38562,                0.23977,                 1.0381,                 0.7889,              0.0010854,              0.0010854,              0.0010854
                     19,                0.22249,                 1.0729,                0.80079,                0.33305,                0.99802,                0.39755,                0.39308,                0.23179,                  1.038,                0.79116,              0.0010652,              0.0010652,              0.0010652
                     20,                0.21133,                 1.0623,                 0.7974,                0.33262,                0.99807,                0.38986,                0.37745,                0.28177,                 1.0398,                0.80684,               0.001045,               0.001045,               0.001045
                     21,                0.21127,                 1.0579,                 0.7924,                0.33326,                      1,                 0.3774,                 0.3693,                0.25176,                 1.0391,                0.80445,              0.0010248,              0.0010248,              0.0010248
                     22,                0.20218,                 1.0592,                0.79751,                0.33322,                      1,                0.37828,                0.37126,                0.20432,                 1.0223,                0.78362,              0.0010046,              0.0010046,              0.0010046
                     23,                0.19484,                 1.0525,                0.79133,                0.33317,                      1,                0.38977,                0.37816,                0.25398,                 1.0335,                0.79784,             0.00098438,             0.00098438,             0.00098438
                     24,                0.19752,                 1.0544,                0.78754,                 0.3332,                      1,                0.39772,                0.39038,                0.23018,                 1.0286,                0.78976,             0.00096417,             0.00096417,             0.00096417
                     25,                0.19348,                 1.0509,                0.79145,                0.33324,                      1,                0.39411,                0.38462,                0.23916,                 1.0267,                0.79403,             0.00094396,             0.00094396,             0.00094396
                     26,                0.18647,                 1.0471,                0.79086,                0.33323,                      1,                0.38979,                0.38189,                0.22827,                 1.0257,                0.78949,             0.00092375,             0.00092375,             0.00092375
                     27,                0.18684,                 1.0458,                 0.7864,                0.33321,                      1,                0.38109,                0.37551,                0.20908,                 1.0172,                0.78557,             0.00090354,             0.00090354,             0.00090354
                     28,                 0.1798,                 1.0443,                0.78688,                0.33332,                0.99802,                0.41811,                0.40955,                0.21795,                 1.0183,                0.78777,             0.00088333,             0.00088333,             0.00088333
                     29,                0.17859,                  1.041,                0.78739,                0.33322,                      1,                0.41238,                 0.4033,                0.23147,                 1.0211,                 0.7897,             0.00086312,             0.00086312,             0.00086312
                     30,                0.18431,                  1.041,                0.78212,                0.33328,                      1,                 0.3908,                0.38621,                0.21073,                 1.0146,                0.78285,             0.00084291,             0.00084291,             0.00084291
